iter	Passed	Remaining
0	123	61786
1	189	47232
2	256	42539
3	320	39686
4	384	38056
5	447	36858
6	511	36034
7	577	35514
8	642	35038
9	705	34578
10	770	34273
11	833	33886
12	898	33645
13	963	33449
14	1029	33271
15	1093	33064
16	1159	32933
17	1225	32827
18	1290	32666
19	1354	32511
20	1418	32364
21	1482	32217
22	1547	32086
23	1614	32017
24	1682	31960
25	1748	31878
26	1812	31748
27	1878	31673
28	1941	31539
29	2005	31421
30	2070	31327
31	2134	31222
32	2200	31144
33	2264	31035
34	2330	30955
35	2393	30854
36	2458	30760
37	2522	30669
38	2588	30593
39	2655	30538
40	2723	30486
41	2787	30393
42	2851	30301
43	2916	30223
44	2980	30136
45	3044	30051
46	3110	29979
47	3175	29901
48	3242	29843
49	3306	29757
50	3371	29679
51	3436	29608
52	3504	29554
53	3567	29468
54	3632	29391
55	3697	29314
56	3765	29263
57	3831	29195
58	3896	29122
59	3960	29041
60	4025	28969
61	4093	28916
62	4158	28842
63	4225	28788
64	4290	28710
65	4354	28634
66	4417	28546
67	4482	28477
68	4546	28396
69	4611	28328
70	4677	28260
71	4768	28345
72	4835	28283
73	4900	28211
74	4980	28223
75	5046	28151
76	5111	28080
77	5176	28004
78	5247	27964
79	5315	27904
80	5380	27833
81	5468	27877
82	5534	27806
83	5600	27734
84	5671	27688
85	5735	27609
86	5801	27538
87	5880	27529
88	5949	27474
89	6014	27399
90	6085	27352
91	6151	27280
92	6233	27280
93	6298	27205
94	6363	27127
95	6431	27066
96	6500	27006
97	6571	26957
98	6638	26888
99	6701	26807
100	6767	26736
101	6832	26662
102	6897	26586
103	6962	26512
104	7027	26438
105	7095	26372
106	7160	26298
107	7224	26221
108	7287	26142
109	7352	26067
110	7419	26001
111	7484	25928
112	7548	25853
113	7614	25783
114	7678	25707
115	7744	25635
116	7807	25559
117	7875	25495
118	7940	25422
119	8006	25352
120	8070	25277
121	8136	25210
122	8202	25141
123	8268	25072
124	8336	25008
125	8402	24941
126	8469	24875
127	8535	24806
128	8602	24741
129	8668	24672
130	8736	24607
131	8802	24540
132	8870	24475
133	8936	24409
134	9000	24335
135	9067	24268
136	9136	24208
137	9202	24140
138	9270	24076
139	9335	24005
140	9402	23940
141	9466	23866
142	9533	23801
143	9601	23736
144	9668	23672
145	9735	23604
146	9799	23532
147	9864	23460
148	9931	23395
149	9997	23327
150	10062	23257
151	10130	23192
152	10197	23127
153	10263	23058
154	10329	22991
155	10394	22922
156	10459	22850
157	10524	22780
158	10590	22712
159	10656	22644
160	10724	22581
161	10808	22550
162	10875	22485
163	10944	22423
164	11010	22355
165	11092	22318
166	11164	22263
167	11231	22196
168	11304	22140
169	11368	22069
170	11435	22001
171	11518	21966
172	11598	21923
173	11670	21864
174	11739	21801
175	11821	21762
176	11896	21709
177	11966	21648
178	12033	21579
179	12100	21511
180	12165	21440
181	12234	21375
182	12319	21340
183	12388	21276
184	12452	21203
185	12519	21134
186	12587	21068
187	12653	20999
188	12718	20927
189	12782	20854
190	12848	20786
191	12913	20715
192	12979	20646
193	13045	20577
194	13115	20513
195	13185	20450
196	13252	20383
197	13319	20315
198	13387	20248
199	13452	20179
200	13520	20111
201	13589	20048
202	13655	19978
203	13719	19906
204	13785	19837
205	13852	19769
206	13919	19702
207	13986	19635
208	14052	19565
209	14117	19495
210	14184	19427
211	14249	19357
212	14315	19288
213	14382	19221
214	14451	19156
215	14517	19088
216	14583	19019
217	14650	18951
218	14715	18882
219	14779	18810
220	14844	18740
221	14910	18671
222	14976	18603
223	15042	18534
224	15109	18467
225	15176	18400
226	15243	18332
227	15309	18263
228	15373	18193
229	15439	18124
230	15505	18056
231	15571	17987
232	15639	17921
233	15706	17854
234	15771	17785
235	15837	17716
236	15904	17649
237	15970	17580
238	16036	17513
239	16102	17444
240	16167	17375
241	16234	17308
242	16301	17240
243	16366	17171
244	16433	17104
245	16502	17038
246	16567	16970
247	16643	16912
248	16721	16855
249	16787	16787
250	16852	16718
251	16922	16654
252	16989	16586
253	17057	16520
254	17133	16461
255	17199	16393
256	17266	16326
257	17338	16263
258	17405	16195
259	17471	16127
260	17549	16070
261	17617	16003
262	17686	15937
263	17753	15870
264	17830	15811
265	17897	15744
266	17964	15676
267	18029	15607
268	18094	15538
269	18159	15469
270	18227	15402
271	18298	15338
272	18373	15277
273	18443	15212
274	18512	15146
275	18577	15077
276	18646	15011
277	18713	14944
278	18779	14875
279	18843	14805
280	18907	14735
281	18973	14667
282	19042	14601
283	19108	14533
284	19175	14465
285	19242	14397
286	19307	14328
287	19373	14261
288	19439	14192
289	19506	14125
290	19573	14057
291	19639	13989
292	19705	13921
293	19771	13853
294	19836	13784
295	19904	13718
296	19971	13650
297	20037	13582
298	20103	13514
299	20169	13446
300	20236	13378
301	20303	13311
302	20369	13243
303	20438	13177
